Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
60,0.107242,0.0575,0.087896,0.104083,0.113708,0.351955
50,0.107279,0.068421,0.088284,0.103282,0.112859,0.351955
40,0.106792,0.068421,0.087305,0.10091,0.107765,0.351955
30,0.100035,0.068421,0.085005,0.098426,0.106373,0.22
20,0.101401,0.070796,0.08427,0.096519,0.10458,0.22
10,0.107845,0.079365,0.08427,0.100864,0.105407,0.22
