Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.11323,0.065934,0.102564,0.109756,0.118023,0.697674
15,0.113591,0.065934,0.102804,0.109717,0.117647,0.697674
10,0.114307,0.065934,0.103008,0.109791,0.117716,0.697674
5,0.11601,0.065934,0.10273,0.109332,0.116667,0.697674
