Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.241548,0.093458,0.166176,0.189189,0.226416,0.830189
15,0.240025,0.093458,0.163636,0.189189,0.226416,0.830189
10,0.23746,0.093458,0.162791,0.1875,0.225806,0.830189
5,0.229128,0.102041,0.161944,0.186047,0.219512,0.776699
