Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.349859,0.155556,0.269231,0.307692,0.368421,0.867925
15,0.348751,0.155556,0.27027,0.306287,0.366912,0.867925
10,0.346052,0.155556,0.269815,0.305556,0.369871,0.867925
5,0.338551,0.155556,0.270163,0.304348,0.361742,0.826087
