Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.198023,0.12037,0.180071,0.195652,0.211765,0.697674
15,0.198463,0.126374,0.180391,0.19614,0.211804,0.697674
10,0.199468,0.126374,0.180469,0.195652,0.2125,0.697674
5,0.201351,0.126374,0.180354,0.196809,0.212536,0.697674
