Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
60,0.669183,0.313783,0.648438,0.692379,0.72028,0.884956
50,0.669008,0.313783,0.645313,0.689033,0.724084,0.884956
40,0.674164,0.313783,0.65163,0.698308,0.725832,0.884956
30,0.67495,0.313783,0.654195,0.699655,0.738961,0.884956
20,0.703705,0.42126,0.666269,0.722816,0.757353,0.884956
10,0.730589,0.64375,0.673831,0.735065,0.757353,0.884956
