Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.499524,0.15,0.290323,0.465592,0.712816,0.90678
15,0.498246,0.162791,0.289474,0.464968,0.707454,0.90678
10,0.497921,0.162791,0.288782,0.479448,0.704691,0.90678
5,0.498679,0.163265,0.289221,0.48299,0.696999,0.90678
