Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.426244,0.1,0.177778,0.401274,0.678863,0.883721
15,0.424565,0.102041,0.177778,0.401254,0.66879,0.883721
10,0.425344,0.102041,0.177778,0.405929,0.666667,0.883721
5,0.426673,0.102041,0.177778,0.411279,0.662823,0.881356
