Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.621368,0.050676,0.593023,0.672172,0.711268,0.979798
15,0.620823,0.051383,0.592203,0.673333,0.711268,0.979798
10,0.621523,0.055238,0.589595,0.673333,0.711268,0.979798
5,0.625504,0.055238,0.595624,0.673333,0.711268,0.979798
