Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.637623,0.081081,0.60584,0.688742,0.72601,0.979798
15,0.637085,0.084778,0.605714,0.688742,0.727273,0.979798
10,0.638039,0.084778,0.604651,0.688965,0.727273,0.979798
5,0.641652,0.084778,0.608367,0.688965,0.730069,0.979798
