Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.217772,0.062157,0.093397,0.145058,0.266667,0.895652
15,0.217849,0.062157,0.093498,0.146234,0.267073,0.846774
10,0.222071,0.064632,0.093865,0.146234,0.271453,0.846774
5,0.220139,0.064632,0.094312,0.140883,0.266667,0.813953
