Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.165775,0.043088,0.056555,0.088238,0.184211,0.869565
15,0.165942,0.043088,0.056858,0.0894,0.181818,0.822581
10,0.17055,0.043088,0.056845,0.088711,0.187795,0.822581
5,0.168726,0.043088,0.056744,0.088083,0.1875,0.790698
