Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.176957,0.091429,0.15,0.172915,0.196793,0.497925
15,0.176808,0.091429,0.149233,0.172538,0.195151,0.468085
10,0.176632,0.092391,0.148596,0.170962,0.194008,0.468085
5,0.177485,0.096447,0.148524,0.172397,0.195022,0.463087
