Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.106509,0.05163,0.085682,0.1,0.112445,0.497925
15,0.106482,0.053708,0.085772,0.099237,0.111593,0.420213
10,0.106948,0.053708,0.084239,0.098599,0.112259,0.420213
5,0.105662,0.055085,0.085358,0.099384,0.111111,0.395973
