Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.168198,0.056577,0.081509,0.113876,0.25,0.697842
15,0.168348,0.056693,0.081451,0.114589,0.25,0.697842
10,0.168411,0.056693,0.081427,0.114858,0.244278,0.581395
5,0.167701,0.058282,0.081149,0.116196,0.24129,0.563218
