Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.109114,0.038079,0.050571,0.073346,0.156084,0.633094
15,0.10924,0.038079,0.050671,0.072946,0.155601,0.633094
10,0.110027,0.041411,0.050566,0.072658,0.156819,0.440476
5,0.109512,0.041411,0.050526,0.072238,0.156004,0.440476
