Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.617739,0.118162,0.546392,0.660256,0.721429,0.979798
15,0.617208,0.12212,0.545804,0.660317,0.72028,0.979798
10,0.618761,0.12212,0.541559,0.66242,0.721429,0.979798
5,0.613962,0.12212,0.534848,0.663353,0.721429,0.979798
