Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.602152,0.093525,0.530849,0.64557,0.703448,0.979798
15,0.601942,0.093525,0.530612,0.64557,0.703448,0.979798
10,0.603432,0.106762,0.530267,0.64557,0.705036,0.979798
5,0.598602,0.106762,0.518939,0.645044,0.70535,0.979798
