Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.685102,0.128205,0.645433,0.753521,0.8,0.927928
15,0.688918,0.162791,0.649871,0.753473,0.8,0.927928
10,0.691849,0.162791,0.658822,0.753521,0.800368,0.927928
5,0.688687,0.205128,0.642204,0.746479,0.791361,0.927928
