Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.644016,0.102564,0.587186,0.736111,0.780303,0.900901
15,0.648548,0.125,0.594026,0.737038,0.779045,0.900901
10,0.652435,0.128378,0.602123,0.73776,0.779045,0.900901
5,0.648285,0.12963,0.58857,0.727922,0.774436,0.900901
