Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.382309,0.108597,0.181818,0.233333,0.607639,0.830189
15,0.378997,0.108597,0.181602,0.231664,0.597987,0.830189
10,0.379294,0.108597,0.179487,0.228571,0.611169,0.808081
5,0.37614,0.108597,0.177778,0.227189,0.606576,0.792079
