Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.118852,0.064935,0.103008,0.111111,0.12,0.727273
15,0.120971,0.064935,0.102941,0.111717,0.12069,0.727273
10,0.120149,0.064935,0.102375,0.111111,0.11982,0.727273
5,0.12564,0.077295,0.102564,0.111111,0.121212,0.727273
