Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.477654,0.166667,0.297872,0.379655,0.675605,0.867925
15,0.473937,0.166667,0.297297,0.378378,0.666667,0.867925
10,0.474871,0.166667,0.297297,0.378378,0.685208,0.848485
5,0.471101,0.186047,0.292683,0.371429,0.68578,0.841584
