Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.202206,0.125604,0.182353,0.196581,0.210597,0.727273
15,0.204479,0.125604,0.183168,0.197771,0.211128,0.727273
10,0.20361,0.125604,0.183425,0.197596,0.210064,0.727273
5,0.208514,0.125604,0.183649,0.197889,0.210526,0.727273
