Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.240521,0.030806,0.058704,0.087794,0.385531,0.979798
15,0.240451,0.030806,0.058924,0.087045,0.389157,0.979798
10,0.239619,0.044643,0.059079,0.084375,0.378197,0.979798
5,0.240383,0.044643,0.058408,0.085952,0.378197,0.979798
