Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.265395,0.049763,0.093684,0.140076,0.392331,0.979798
15,0.265366,0.049763,0.09434,0.138103,0.395873,0.979798
10,0.264756,0.063457,0.094937,0.128508,0.389415,0.979798
5,0.265329,0.073214,0.093489,0.131528,0.389415,0.979798
