Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.443461,0.068759,0.292683,0.371429,0.592813,0.853211
15,0.444166,0.068759,0.288889,0.371429,0.597222,0.853211
10,0.445299,0.068759,0.293864,0.371429,0.597222,0.831858
5,0.445235,0.068759,0.285714,0.368116,0.591549,0.814159
