Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.344639,0.04298,0.179487,0.225806,0.506667,0.816514
15,0.346495,0.04298,0.177778,0.225806,0.513607,0.816514
10,0.347114,0.04298,0.181818,0.225806,0.50866,0.787611
5,0.349213,0.04298,0.181818,0.225806,0.513607,0.787611
