Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.199657,0.124464,0.180927,0.193985,0.209877,0.863309
15,0.200433,0.124464,0.181238,0.193548,0.210235,0.863309
10,0.20122,0.125,0.180246,0.192841,0.210829,0.863309
5,0.197789,0.125,0.178397,0.193126,0.210227,0.516393
