Sample Size,Mean,Min,25th Percentile,Median,75th Percentile,Max
20,0.117368,0.067308,0.102703,0.110526,0.118792,0.863309
15,0.118535,0.067308,0.102697,0.110526,0.11875,0.863309
10,0.12048,0.067308,0.10265,0.110465,0.119363,0.863309
5,0.117013,0.067308,0.102242,0.110465,0.11982,0.459016
